DateTime,Value
01-12-2023 00:00,50.01
01-12-2023 00:15,50.02
01-12-2023 00:30,49.97
01-12-2023 00:45,50.03
01-12-2023 01:00,50.02
01-12-2023 01:15,49.98
01-12-2023 01:30,49.92
01-12-2023 01:45,49.93
01-12-2023 02:00,49.94
01-12-2023 02:15,49.97
01-12-2023 02:30,49.94
01-12-2023 02:45,49.97
01-12-2023 03:00,49.98
01-12-2023 03:15,49.98
01-12-2023 03:30,49.97
01-12-2023 03:45,49.98
01-12-2023 04:00,50
01-12-2023 04:15,49.96
01-12-2023 04:30,49.94
01-12-2023 04:45,49.94
01-12-2023 05:00,49.86
01-12-2023 05:15,49.94
01-12-2023 05:30,49.93
01-12-2023 05:45,49.92
01-12-2023 06:00,49.94
01-12-2023 06:15,49.9
01-12-2023 06:30,49.9
01-12-2023 06:45,49.95
01-12-2023 07:00,49.92
01-12-2023 07:15,49.94
01-12-2023 07:30,49.98
01-12-2023 07:45,50.04
01-12-2023 08:00,50.02
01-12-2023 08:15,49.99
01-12-2023 08:30,50
01-12-2023 08:45,49.96
01-12-2023 09:00,49.88
01-12-2023 09:15,49.89
01-12-2023 09:30,49.94
01-12-2023 09:45,50
01-12-2023 10:00,49.98
01-12-2023 10:15,49.99
01-12-2023 10:30,50.03
01-12-2023 10:45,50.03
01-12-2023 11:00,50.02
01-12-2023 11:15,50.02
01-12-2023 11:30,50.04
01-12-2023 11:45,50.04
01-12-2023 12:00,50.04
01-12-2023 12:15,50.09
01-12-2023 12:30,50.08
01-12-2023 12:45,50.02
01-12-2023 13:00,50.14
01-12-2023 13:15,50.16
01-12-2023 13:30,50.21
01-12-2023 13:45,50.21
01-12-2023 14:00,50.04
01-12-2023 14:15,49.96
01-12-2023 14:30,49.95
01-12-2023 14:45,49.95
01-12-2023 15:00,50
01-12-2023 15:15,49.95
01-12-2023 15:30,49.94
01-12-2023 15:45,49.89
01-12-2023 16:00,49.93
01-12-2023 16:15,49.97
01-12-2023 16:30,49.97
01-12-2023 16:45,49.95
01-12-2023 17:00,49.93
01-12-2023 17:15,49.89
01-12-2023 17:30,49.91
01-12-2023 17:45,49.87
01-12-2023 18:00,50.01
01-12-2023 18:15,50.01
01-12-2023 18:30,49.95
01-12-2023 18:45,49.98
01-12-2023 19:00,49.96
01-12-2023 19:15,49.98
01-12-2023 19:30,50
01-12-2023 19:45,49.99
01-12-2023 20:00,49.95
01-12-2023 20:15,49.97
01-12-2023 20:30,49.94
01-12-2023 20:45,49.97
01-12-2023 21:00,49.97
01-12-2023 21:15,49.94
01-12-2023 21:30,50
01-12-2023 21:45,50.02
01-12-2023 22:00,49.98
01-12-2023 22:15,49.99
01-12-2023 22:30,49.98
01-12-2023 22:45,50
01-12-2023 23:00,49.98
01-12-2023 23:15,49.98
01-12-2023 23:30,49.99
01-12-2023 23:45,50
02-12-2023 00:00,50.02
02-12-2023 00:15,50.01
02-12-2023 00:30,49.97
02-12-2023 00:45,49.99
02-12-2023 01:00,50.06
02-12-2023 01:15,50.05
02-12-2023 01:30,50.03
02-12-2023 01:45,49.97
02-12-2023 02:00,49.98
02-12-2023 02:15,49.96
02-12-2023 02:30,49.95
02-12-2023 02:45,49.96
02-12-2023 03:00,49.97
02-12-2023 03:15,50
02-12-2023 03:30,50
02-12-2023 03:45,50
02-12-2023 04:00,49.99
02-12-2023 04:15,49.99
02-12-2023 04:30,49.97
02-12-2023 04:45,49.96
02-12-2023 05:00,49.97
02-12-2023 05:15,49.98
02-12-2023 05:30,49.98
02-12-2023 05:45,50.01
02-12-2023 06:00,50.01
02-12-2023 06:15,49.97
02-12-2023 06:30,49.9
02-12-2023 06:45,49.96
02-12-2023 07:00,49.92
02-12-2023 07:15,49.98
02-12-2023 07:30,49.99
02-12-2023 07:45,49.93
02-12-2023 08:00,49.89
02-12-2023 08:15,49.82
02-12-2023 08:30,49.94
02-12-2023 08:45,50.02
02-12-2023 09:00,50.03
02-12-2023 09:15,50.05
02-12-2023 09:30,50.06
02-12-2023 09:45,50.06
02-12-2023 10:00,50.02
02-12-2023 10:15,50.07
02-12-2023 10:30,50.06
02-12-2023 10:45,50.02
02-12-2023 11:00,49.99
02-12-2023 11:15,50.01
02-12-2023 11:30,49.95
02-12-2023 11:45,49.9
02-12-2023 12:00,49.98
02-12-2023 12:15,49.98
02-12-2023 12:30,49.94
02-12-2023 12:45,50.02
02-12-2023 13:00,50.19
02-12-2023 13:15,50.06
02-12-2023 13:30,50
02-12-2023 13:45,50.02
02-12-2023 14:00,50.06
02-12-2023 14:15,49.99
02-12-2023 14:30,49.97
02-12-2023 14:45,49.96
02-12-2023 15:00,50.02
02-12-2023 15:15,50.03
02-12-2023 15:30,49.98
02-12-2023 15:45,49.96
02-12-2023 16:00,49.99
02-12-2023 16:15,49.99
02-12-2023 16:30,49.98
02-12-2023 16:45,50
02-12-2023 17:00,50.07
02-12-2023 17:15,50.01
02-12-2023 17:30,49.97
02-12-2023 17:45,50.01
02-12-2023 18:00,50.06
02-12-2023 18:15,50.04
02-12-2023 18:30,50.02
02-12-2023 18:45,50.02
02-12-2023 19:00,50.02
02-12-2023 19:15,49.98
02-12-2023 19:30,49.96
02-12-2023 19:45,49.98
02-12-2023 20:00,49.94
02-12-2023 20:15,49.89
02-12-2023 20:30,49.96
02-12-2023 20:45,50
02-12-2023 21:00,49.98
02-12-2023 21:15,50.02
02-12-2023 21:30,50.03
02-12-2023 21:45,50.04
02-12-2023 22:00,49.96
02-12-2023 22:15,49.97
02-12-2023 22:30,49.98
02-12-2023 22:45,49.98
02-12-2023 23:00,49.97
02-12-2023 23:15,49.96
02-12-2023 23:30,50
02-12-2023 23:45,50.02
03-12-2023 00:00,49.99
03-12-2023 00:15,50.03
03-12-2023 00:30,50.02
03-12-2023 00:45,49.99
03-12-2023 01:00,49.99
03-12-2023 01:15,49.97
03-12-2023 01:30,49.96
03-12-2023 01:45,49.98
03-12-2023 02:00,49.98
03-12-2023 02:15,49.95
03-12-2023 02:30,49.94
03-12-2023 02:45,49.98
03-12-2023 03:00,49.98
03-12-2023 03:15,49.99
03-12-2023 03:30,49.96
03-12-2023 03:45,50
03-12-2023 04:00,49.99
03-12-2023 04:15,50.01
03-12-2023 04:30,50.07
03-12-2023 04:45,50.01
03-12-2023 05:00,50.01
03-12-2023 05:15,49.98
03-12-2023 05:30,50.01
03-12-2023 05:45,50.02
03-12-2023 06:00,50.05
03-12-2023 06:15,50.01
03-12-2023 06:30,50.01
03-12-2023 06:45,49.98
03-12-2023 07:00,49.95
03-12-2023 07:15,49.96
03-12-2023 07:30,49.98
03-12-2023 07:45,49.93
03-12-2023 08:00,49.89
03-12-2023 08:15,49.95
03-12-2023 08:30,49.99
03-12-2023 08:45,50.01
03-12-2023 09:00,49.96
03-12-2023 09:15,49.93
03-12-2023 09:30,49.93
03-12-2023 09:45,50.04
03-12-2023 10:00,50.03
03-12-2023 10:15,49.99
03-12-2023 10:30,49.91
03-12-2023 10:45,49.95
03-12-2023 11:00,50
03-12-2023 11:15,50.04
03-12-2023 11:30,50.03
03-12-2023 11:45,50.03
03-12-2023 12:00,50.08
03-12-2023 12:15,50
03-12-2023 12:30,49.98
03-12-2023 12:45,50
03-12-2023 13:00,50.01
03-12-2023 13:15,50.11
03-12-2023 13:30,50.09
03-12-2023 13:45,50.05
03-12-2023 14:00,50.15
03-12-2023 14:15,50.01
03-12-2023 14:30,49.98
03-12-2023 14:45,50.02
03-12-2023 15:00,50.06
03-12-2023 15:15,50.04
03-12-2023 15:30,50.01
03-12-2023 15:45,49.94
03-12-2023 16:00,49.97
03-12-2023 16:15,49.95
03-12-2023 16:30,49.96
03-12-2023 16:45,49.96
03-12-2023 17:00,49.95
03-12-2023 17:15,50
03-12-2023 17:30,50.01
03-12-2023 17:45,50.05
03-12-2023 18:00,49.98
03-12-2023 18:15,49.96
03-12-2023 18:30,50
03-12-2023 18:45,49.99
03-12-2023 19:00,50
03-12-2023 19:15,49.94
03-12-2023 19:30,49.96
03-12-2023 19:45,49.97
03-12-2023 20:00,49.88
03-12-2023 20:15,49.89
03-12-2023 20:30,49.87
03-12-2023 20:45,49.98
03-12-2023 21:00,49.98
03-12-2023 21:15,50.01
03-12-2023 21:30,50
03-12-2023 21:45,50.05
03-12-2023 22:00,50
03-12-2023 22:15,49.98
03-12-2023 22:30,50.01
03-12-2023 22:45,50.02
03-12-2023 23:00,50.01
03-12-2023 23:15,49.99
03-12-2023 23:30,50.01
03-12-2023 23:45,50
04-12-2023 00:00,50.04
04-12-2023 00:15,50.02
04-12-2023 00:30,49.99
04-12-2023 00:45,50.02
04-12-2023 01:00,50.03
04-12-2023 01:15,50
04-12-2023 01:30,49.99
04-12-2023 01:45,49.98
04-12-2023 02:00,49.98
04-12-2023 02:15,49.98
04-12-2023 02:30,49.98
04-12-2023 02:45,50.01
04-12-2023 03:00,50
04-12-2023 03:15,50
04-12-2023 03:30,49.99
04-12-2023 03:45,50.01
04-12-2023 04:00,50
04-12-2023 04:15,49.97
04-12-2023 04:30,49.98
04-12-2023 04:45,49.97
04-12-2023 05:00,49.98
04-12-2023 05:15,49.97
04-12-2023 05:30,49.95
04-12-2023 05:45,50
04-12-2023 06:00,49.99
04-12-2023 06:15,49.93
04-12-2023 06:30,49.97
04-12-2023 06:45,49.97
04-12-2023 07:00,49.98
04-12-2023 07:15,49.99
04-12-2023 07:30,50
04-12-2023 07:45,50.01
04-12-2023 08:00,49.99
04-12-2023 08:15,50
04-12-2023 08:30,50.05
04-12-2023 08:45,50.07
04-12-2023 09:00,50.02
04-12-2023 09:15,50.04
04-12-2023 09:30,50
04-12-2023 09:45,50
04-12-2023 10:00,49.99
04-12-2023 10:15,49.95
04-12-2023 10:30,49.98
04-12-2023 10:45,50.02
04-12-2023 11:00,50.11
04-12-2023 11:15,50.1
04-12-2023 11:30,50.22
04-12-2023 11:45,50.08
04-12-2023 12:00,50.12
04-12-2023 12:15,50.08
04-12-2023 12:30,50.16
04-12-2023 12:45,50.08
04-12-2023 13:00,50.07
04-12-2023 13:15,50
04-12-2023 13:30,49.97
04-12-2023 13:45,49.99
04-12-2023 14:00,49.96
04-12-2023 14:15,49.99
04-12-2023 14:30,50.01
